iter	Passed	Remaining
582	1358	971
583	1360	968
584	1362	966
585	1364	963
586	1365	960
587	1367	958
588	1369	955
589	1371	953
590	1374	951
591	1376	948
592	1378	945
593	1379	943
594	1381	940
595	1383	937
596	1385	935
597	1388	933
598	1390	930
599	1392	928
600	1394	925
601	1396	923
602	1398	920
603	1399	917
604	1402	915
605	1404	913
606	1406	910
607	1408	907
608	1410	905
609	1411	902
610	1413	900
611	1415	897
612	1418	895
613	1420	892
614	1422	890
615	1424	887
616	1426	885
617	1427	882
618	1429	880
619	1432	877
620	1434	875
621	1436	872
622	1438	870
623	1440	867
624	1441	865
625	1443	862
626	1445	859
627	1448	857
628	1450	855
629	1452	852
630	1453	850
631	1455	847
632	1457	845
633	1459	842
634	1462	840
635	1464	838
636	1466	835
637	1468	832
638	1469	830
639	1471	827
640	1473	825
641	1475	822
642	1478	820
643	1480	818
644	1482	815
645	1483	813
646	1485	810
647	1487	808
648	1489	805
649	1492	803
650	1494	801
651	1496	798
652	1498	796
653	1500	793
654	1501	791
655	1503	788
656	1506	786
657	1508	784
658	1510	781
659	1512	779
660	1514	776
661	1516	774
662	1518	771
663	1520	769
664	1522	767
665	1524	764
666	1526	762
667	1528	759
668	1530	757
669	1532	754
670	1534	752
671	1537	750
672	1539	747
673	1541	745
674	1542	742
675	1544	740
676	1546	738
677	1548	735
678	1551	733
679	1553	730
680	1555	728
681	1556	725
682	1558	723
683	1560	720
684	1562	718
685	1564	715
686	1566	713
687	1568	711
688	1570	709
689	1572	706
690	1574	704
691	1576	701
692	1578	699
693	1580	696
694	1582	694
695	1584	692
696	1586	689
697	1588	687
698	1590	684
699	1592	682
700	1594	680
701	1597	678
702	1599	675
703	1601	673
704	1602	670
705	1604	668
706	1606	665
707	1608	663
708	1611	661
709	1613	659
710	1615	656
711	1617	654
712	1618	651
713	1620	649
714	1622	646
715	1625	644
716	1627	642
717	1629	639
718	1630	637
719	1632	634
720	1634	632
721	1636	630
722	1637	627
723	1640	625
724	1643	623
725	1645	620
726	1647	618
727	1648	616
728	1650	613
729	1653	611
730	1655	609
731	1657	606
732	1659	604
733	1661	602
734	1663	599
735	1665	597
736	1667	594
737	1668	592
738	1671	590
739	1673	587
740	1675	585
741	1677	583
742	1678	580
743	1680	578
744	1682	575
745	1684	573
746	1687	571
747	1688	568
748	1690	566
749	1692	564
750	1694	561
751	1696	559
752	1698	557
753	1700	554
754	1702	552
755	1704	550
756	1706	547
757	1708	545
758	1710	543
759	1712	540
760	1715	538
761	1717	536
762	1719	534
763	1722	531
764	1724	529
765	1725	527
766	1727	524
767	1730	522
768	1732	520
769	1734	518
770	1736	515
771	1737	513
772	1740	510
773	1742	508
774	1745	506
775	1748	504
776	1749	502
777	1752	499
778	1754	497
779	1755	495
780	1757	492
781	1760	490
782	1762	488
783	1764	486
784	1765	483
785	1767	481
786	1769	478
787	1771	476
788	1774	474
789	1776	472
790	1778	469
791	1780	467
792	1782	465
793	1784	462
794	1786	460
795	1787	458
796	1790	456
797	1792	453
798	1794	451
799	1796	449
800	1798	446
801	1800	444
802	1801	442
803	1804	439
804	1806	437
805	1808	435
806	1810	433
807	1812	430
808	1814	428
809	1816	426
810	1819	423
811	1821	421
812	1823	419
813	1825	417
814	1827	414
815	1829	412
816	1831	410
817	1833	407
818	1835	405
819	1838	403
820	1839	401
821	1841	398
822	1843	396
823	1845	394
824	1847	391
825	1850	389
826	1852	387
827	1854	385
828	1856	382
829	1858	380
830	1860	378
831	1861	375
832	1864	373
833	1866	371
834	1868	369
835	1870	366
836	1872	364
837	1874	362
838	1876	360
839	1878	357
840	1881	355
841	1883	353
842	1885	351
843	1887	348
844	1889	346
845	1891	344
846	1895	342
847	1897	340
848	1899	337
849	1902	335
850	1904	333
851	1906	331
852	1909	329
853	1912	326
854	1914	324
855	1915	322
856	1917	319
857	1919	317
858	1921	315
859	1923	313
860	1926	310
861	1928	308
862	1930	306
863	1932	304
864	1934	301
865	1936	299
866	1939	297
867	1941	295
868	1943	292
869	1945	290
870	1947	288
871	1948	286
872	1950	283
873	1952	281
874	1955	279
875	1957	277
876	1959	274
877	1961	272
878	1963	270
879	1964	267
880	1966	265
881	1969	263
882	1971	261
883	1973	258
884	1975	256
885	1976	254
886	1978	252
887	1980	249
888	1982	247
889	1984	245
890	1987	243
891	1989	240
892	1990	238
893	1992	236
894	1994	233
895	1996	231
896	1998	229
897	2001	227
898	2003	225
899	2004	222
900	2006	220
901	2008	218
902	2010	215
903	2012	213
904	2015	211
905	2017	209
906	2019	207
907	2021	204
908	2023	202
909	2025	200
910	2028	198
911	2030	195
912	2032	193
913	2034	191
914	2036	189
915	2038	186
916	2040	184
917	2042	182
918	2045	180
919	2046	177
920	2048	175
921	2050	173
922	2052	171
923	2054	168
924	2057	166
925	2059	164
926	2061	162
927	2063	160
928	2065	157
929	2066	155
930	2068	153
931	2070	151
932	2072	148
933	2074	146
934	2076	144
935	2078	142
936	2080	139
937	2081	137
938	2083	135
939	2085	133
940	2088	130
941	2090	128
942	2092	126
943	2094	124
944	2096	122
945	2098	119
946	2100	117
947	2103	115
948	2105	113
949	2107	110
950	2108	108
951	2110	106
952	2112	104
953	2113	101
954	2116	99
955	2118	97
956	2120	95
957	2122	93
958	2124	90
959	2126	88
960	2128	86
961	2130	84
962	2132	81
963	2134	79
964	2136	77
965	2138	75
966	2140	73
967	2142	70
968	2143	68
969	2146	66
970	2148	64
971	2150	61
972	2152	59
973	2154	57
974	2156	55
975	2157	53
976	2159	50
977	2162	48
978	2164	46
979	2166	44
980	2168	41
981	2169	39
982	2171	37
983	2173	35
984	2175	33
985	2178	30
986	2180	28
987	2181	26
988	2183	24
989	2185	22
990	2187	19
991	2188	17
992	2191	15
993	2194	13
994	2196	11
995	2198	8
996	2200	6
997	2202	4
998	2205	2
999	2207	0
